close,net_change,date
8497.18436394,-7.48,2009-06-17 00:00:00.0
8555.60373453,58.42,2009-06-18 00:00:00.0
8539.7330129,-15.87,2009-06-19 00:00:00.0
8339.00617163,-200.73,2009-06-22 00:00:00.0
8322.9087254,-16.10,2009-06-23 00:00:00.0
8299.8583916,-23.05,2009-06-24 00:00:00.0
8472.39580824,172.54,2009-06-25 00:00:00.0
8438.38711902,-34.01,2009-06-26 00:00:00.0
8529.3792564,90.99,2009-06-29 00:00:00.0
8447.00265362,-82.38,2009-06-30 00:00:00.0
8504.06167665,57.06,2009-07-01 00:00:00.0
8280.73795077,-223.32,2009-07-02 00:00:00.0
8324.87367189,44.14,2009-07-06 00:00:00.0
8163.59691012,-161.28,2009-07-07 00:00:00.0
8178.40958365,14.81,2009-07-08 00:00:00.0
8183.17080014,4.76,2009-07-09 00:00:00.0
8146.51699065,-36.65,2009-07-10 00:00:00.0
8331.67540973,185.16,2009-07-13 00:00:00.0
8359.48696003,27.81,2009-07-14 00:00:00.0
8616.21477621,256.73,2009-07-15 00:00:00.0
8711.81698035,95.60,2009-07-16 00:00:00.0
8743.93629795,32.12,2009-07-17 00:00:00.0
8848.15403669,104.22,2009-07-20 00:00:00.0
8915.94469054,67.79,2009-07-21 00:00:00.0
8881.25582753,-34.69,2009-07-22 00:00:00.0
9069.28609149,188.03,2009-07-23 00:00:00.0
9093.24332367,23.96,2009-07-24 00:00:00.0
9108.50944639,15.27,2009-07-27 00:00:00.0
9096.71976746,-11.79,2009-07-28 00:00:00.0
9070.72201392,-26.00,2009-07-29 00:00:00.0
9154.45896427,83.74,2009-07-30 00:00:00.0
9171.61445861,17.16,2009-07-31 00:00:00.0
9286.56382817,114.95,2009-08-03 00:00:00.0
9320.19464306,33.63,2009-08-04 00:00:00.0
9280.97128816,-39.22,2009-08-05 00:00:00.0
9256.25830733,-24.71,2009-08-06 00:00:00.0
9370.07405392,113.82,2009-08-07 00:00:00.0
9337.95473632,-32.12,2009-08-10 00:00:00.0
9241.4456338,-96.51,2009-08-11 00:00:00.0
9361.60966905,120.16,2009-08-12 00:00:00.0
9398.18790368,36.58,2009-08-13 00:00:00.0
9321.4038409,-76.78,2009-08-14 00:00:00.0
9135.33852344,-186.07,2009-08-17 00:00:00.0
9217.94185081,82.60,2009-08-18 00:00:00.0
9279.15749141,61.22,2009-08-19 00:00:00.0
9350.04671471,70.89,2009-08-20 00:00:00.0
9505.95766107,155.91,2009-08-21 00:00:00.0
9509.28295513,3.33,2009-08-24 00:00:00.0
9539.28617651,30.00,2009-08-25 00:00:00.0
9543.51836894,4.23,2009-08-26 00:00:00.0
9580.62562763,37.11,2009-08-27 00:00:00.0
9544.19854273,-36.43,2009-08-28 00:00:00.0
9496.28407836,-47.91,2009-08-31 00:00:00.0
9310.59663522,-185.69,2009-09-01 00:00:00.0
9280.6689887,-29.93,2009-09-02 00:00:00.0
9344.60532444,63.94,2009-09-03 00:00:00.0
9441.26557669,96.66,2009-09-04 00:00:00.0
9497.34212647,56.08,2009-09-08 00:00:00.0
9547.22153733,49.88,2009-09-09 00:00:00.0
9627.48204388,80.26,2009-09-10 00:00:00.0
9605.41418332,-22.07,2009-09-11 00:00:00.0
9626.8018701,21.39,2009-09-14 00:00:00.0
9683.40744394,56.61,2009-09-15 00:00:00.0
9791.70622539,108.30,2009-09-16 00:00:00.0
9783.9220143,-7.78,2009-09-17 00:00:00.0
9820.19794947,36.28,2009-09-18 00:00:00.0
9778.85849835,-41.34,2009-09-21 00:00:00.0
9829.87153218,51.01,2009-09-22 00:00:00.0
9748.55297751,-81.32,2009-09-23 00:00:00.0
9707.44025098,-41.11,2009-09-24 00:00:00.0
9665.19390149,-42.25,2009-09-25 00:00:00.0
